ticket_number,total_ticket
151086.0,2.7
151087.0,12.0
151088.0,2.3
151089.0,1.3
151090.0,2.6
151091.0,15.100000000000001
151093.0,2.6
151094.0,1.0
151095.0,1.0
151096.0,1.0
151097.0,1.3
151098.0,1.3
151099.0,2.3
151100.0,1.3
151101.0,1.3
151102.0,8.7
151103.0,13.2
151104.0,5.2
151105.0,2.7
151106.0,2.7
151107.0,2.3499999999999996
151108.0,2.0
151109.0,3.3
151110.0,2.2
151111.0,5.300000000000001
151112.0,8.45
151113.0,2.0
151114.0,12.0
151115.0,6.3
151116.0,5.9
151117.0,2.3
151118.0,2.6
151119.0,5.2
151120.0,8.0
151121.0,2.6
151122.0,5.8
151123.0,9.0
151124.0,1.3
151125.0,10.0
151126.0,1.3
151127.0,1.3
151128.0,1.3
151129.0,4.0
151130.0,1.7
151131.0,8.0
151132.0,9.3
151133.0,3.3
151134.0,1.15
151135.0,2.0
151136.0,4.9
151137.0,2.6
151138.0,4.3
151139.0,1.3
151140.0,3.85
151141.0,12.65
151142.0,2.6
151143.0,6.3
151144.0,1.3
151145.0,12.3
151146.0,8.0
151147.0,1.3
151148.0,2.3
151149.0,1.3
151150.0,2.3
151151.0,1.3
151152.0,1.3
151153.0,2.6
151154.0,21.15
151155.0,4.800000000000001
151156.0,1.7
151157.0,2.0
151158.0,2.3
151159.0,4.0
151160.0,2.6
151161.0,2.6
151162.0,1.6
151163.0,29.0
151164.0,1.0
151165.0,5.2
151166.0,2.6
151167.0,1.3
151168.0,1.3
151169.0,2.6
151170.0,1.3
151171.0,3.9000000000000004
151172.0,2.0
151173.0,2.6
151174.0,1.3
151175.0,1.9
151176.0,2.15
151177.0,2.6
151178.0,7.0
151179.0,1.3
151180.0,1.3
151181.0,3.9000000000000004
151183.0,1.3
151184.0,1.3
151185.0,1.3
151186.0,13.0
151187.0,4.9
151188.0,1.3
151189.0,8.0
151190.0,4.8
151191.0,2.45
151192.0,1.15
151193.0,13.5
151194.0,2.6
151195.0,13.3
151196.0,9.9
151197.0,3.75
151198.0,1.15
151199.0,2.45
151200.0,5.6
151201.0,2.5
151202.0,13.15
151203.0,4.4
151204.0,6.15
151206.0,2.3
151207.0,12.0
151209.0,9.35
151210.0,10.0
151211.0,8.5
151212.0,13.8
151213.0,1.2
151214.0,2.0
151215.0,6.5
151216.0,1.7
151217.0,5.1
151218.0,1.15
151219.0,1.3
151220.0,3.9000000000000004
151221.0,7.45
151222.0,1.0
151223.0,2.7
151224.0,1.3
151225.0,4.6
151226.0,6.0
151227.0,12.5
151228.0,8.0
151229.0,1.3
151230.0,10.4
151231.0,8.6
151232.0,3.7
151233.0,4.8999999999999995
151234.0,0.7
151235.0,3.9000000000000004
151236.0,1.0
151237.0,1.3
151238.0,4.0
151239.0,3.9000000000000004
151240.0,5.0
151241.0,13.4
151242.0,1.15
151243.0,26.2
151244.0,2.2
151245.0,3.5999999999999996
151246.0,2.6
151247.0,1.3
151248.0,1.0
151249.0,0.7
151250.0,13.3
151251.0,36.0
151252.0,9.7
151253.0,1.15
151254.0,1.3
151255.0,2.6
151256.0,0.7
151257.0,10.9
151258.0,1.3
151259.0,6.5
151260.0,1.15
151261.0,1.15
151262.0,3.3
151263.0,2.6
151264.0,9.7
151265.0,12.6
151266.0,0.7
151267.0,16.9
151268.0,6.5
151269.0,10.6
151270.0,9.3
151271.0,5.2
151272.0,2.75
151273.0,3.9000000000000004
151274.0,5.0
151275.0,1.8
151276.0,1.0
151277.0,2.6
151278.0,1.15
151279.0,2.7
151281.0,5.0
151282.0,3.9000000000000004
151283.0,2.8499999999999996
151284.0,1.15
151285.0,1.3
151286.0,9.0
151287.0,2.3
151288.0,4.3
151289.0,4.6000000000000005
151290.0,2.6
151291.0,3.9000000000000004
151292.0,1.9
151293.0,1.3
151294.0,2.7
151295.0,1.3
151296.0,1.3
151297.0,6.9
151298.0,3.4
151299.0,1.7
151300.0,2.3
151301.0,11.95
151302.0,3.95
151303.0,7.6
151304.0,5.0
151305.0,1.15
151306.0,1.3
151307.0,2.6
151308.0,3.3
151309.0,8.0
151310.0,5.2
151311.0,1.3
151312.0,1.3
151313.0,9.6
151314.0,5.35
151315.0,2.5
151316.0,9.3
151317.0,11.9
151318.0,15.0
151319.0,2.6
151320.0,2.6
151321.0,3.9000000000000004
151322.0,22.6
151323.0,2.6
151324.0,10.6
151325.0,1.0
151326.0,1.3
151327.0,1.0
151328.0,9.3
151329.0,13.2
151330.0,2.6
151331.0,1.7
151332.0,12.0
151333.0,1.3
151334.0,8.0
151335.0,12.0
151336.0,3.2
151337.0,1.3
151338.0,6.4
151339.0,6.8999999999999995
151340.0,3.9000000000000004
151341.0,3.2
151342.0,2.6
151343.0,2.6
151344.0,2.5
151345.0,1.3
151346.0,1.15
151347.0,2.7
151348.0,2.0
151349.0,2.3
151350.0,2.6
151351.0,3.3
151352.0,2.3
151353.0,3.7
151354.0,9.0
151355.0,2.3
151356.0,11.9
151357.0,2.7
151358.0,2.0
151359.0,3.3
151360.0,1.6
151361.0,1.3
151362.0,10.7
151363.0,19.0
151364.0,1.3
151365.0,1.6
151366.0,2.6
151367.0,1.3
151368.0,2.6
151369.0,1.3
151370.0,1.0
151371.0,1.4
151372.0,10.6
151373.0,13.3
151374.0,2.6
151375.0,2.6
151376.0,2.6
151377.0,7.1000000000000005
151378.0,2.15
151379.0,1.0
151380.0,8.0
151381.0,1.3
151382.0,1.35
151383.0,13.15
151384.0,1.4
151385.0,6.25
151386.0,2.15
151387.0,1.0
151388.0,16.0
151389.0,1.15
151390.0,1.15
151391.0,1.15
151392.0,5.5
151393.0,1.6
151394.0,3.6
151396.0,2.6
151397.0,1.0
151398.0,5.2
151399.0,4.35
151400.0,2.6
151401.0,1.3
151402.0,1.9
151403.0,7.800000000000001
151404.0,2.5
151405.0,3.4
151406.0,1.0
151407.0,2.5
151408.0,2.6
151409.0,1.0
151410.0,4.6
151411.0,0.7
151412.0,2.6
151413.0,2.6
151414.0,1.8
151415.0,1.0
151416.0,1.3
151417.0,1.3
151418.0,3.7
151419.0,8.1
151420.0,0.7
151421.0,1.3
151422.0,1.7
151423.0,1.15
151424.0,2.6
151425.0,8.2
151426.0,6.9
151427.0,1.3
151428.0,5.6
151429.0,2.3
151430.0,1.0
151431.0,3.85
151432.0,1.15
151433.0,5.3
151434.0,2.7
151435.0,1.0
151436.0,1.2
151437.0,1.15
151438.0,4.0
151439.0,3.5
151440.0,11.15
151441.0,2.5
151442.0,1.7
151443.0,7.0
151444.0,10.3
151445.0,2.3499999999999996
151446.0,1.8499999999999999
151447.0,4.6
151448.0,1.0
151449.0,4.8999999999999995
151450.0,1.35
151451.0,12.6
151452.0,3.5999999999999996
151453.0,1.0
151454.0,1.3
151455.0,1.3
151456.0,10.750000000000002
151457.0,1.15
151458.0,1.3
151459.0,3.9000000000000004
151460.0,2.6
151461.0,7.0
151462.0,3.0
151463.0,1.6
151464.0,1.3
151465.0,1.7
151466.0,2.0
151467.0,1.3
151468.0,1.2
151469.0,2.6
151470.0,1.15
151471.0,1.0
151472.0,7.0
151473.0,1.3
151474.0,1.3
151475.0,1.7
151477.0,8.3
151478.0,1.3
151479.0,2.6
151480.0,2.3
151481.0,1.3
151482.0,5.0
151483.0,1.3
151484.0,1.3
