ticket_number,total_ticket
150845.0,6.5
150846.0,1.2
150847.0,1.2
150848.0,13.0
150849.0,1.05
150850.0,8.7
150851.0,1.2
150852.0,1.2
150853.0,2.4
150854.0,3.25
150855.0,3.5999999999999996
150856.0,6.5
150857.0,3.0
150858.0,6.5
150859.0,6.3
150860.0,2.0
150861.0,2.4
150862.0,2.5999999999999996
150863.0,12.0
150864.0,4.4
150865.0,2.4
150866.0,0.9
150867.0,0.9
150868.0,1.8
150870.0,2.4
150871.0,1.05
150873.0,2.4
150874.0,2.7
150875.0,2.4
150876.0,1.15
150877.0,1.8
150878.0,2.4
150879.0,7.4
150880.0,1.2
150882.0,0.9
150883.0,1.25
150884.0,1.2
150885.0,13.2
150886.0,1.5
150887.0,4.8
150888.0,1.2
150889.0,5.0
150890.0,6.449999999999999
150891.0,4.8
150892.0,10.0
150893.0,1.25
150894.0,11.6
150895.0,1.2
150896.0,2.4
150898.0,3.5999999999999996
150899.0,1.2
150900.0,1.2
150901.0,1.2
150902.0,6.7
150903.0,2.1
150904.0,11.0
150905.0,3.5
150906.0,0.9
150907.0,2.0
150908.0,1.05
150909.0,1.2
150910.0,8.9
150911.0,1.05
150912.0,1.2
150913.0,2.8
150914.0,1.0
150915.0,4.4
150916.0,0.9
150917.0,2.4
150918.0,1.2
150919.0,1.7999999999999998
150920.0,1.2
150921.0,1.0
150922.0,3.5999999999999996
150923.0,5.4
150924.0,4.6
150925.0,0.9
150926.0,3.0
150927.0,3.0
150928.0,0.9
150929.0,1.5
150930.0,2.1
150931.0,1.05
150932.0,2.9
150933.0,0.9
150934.0,2.5999999999999996
150935.0,1.5
150936.0,0.9
150937.0,1.65
150938.0,1.2
150939.0,1.65
150940.0,8.3
150942.0,3.0
150943.0,3.55
150944.0,2.55
150945.0,1.2
150946.0,2.7
150947.0,1.65
150948.0,14.4
150949.0,2.4
150951.0,8.3
150952.0,1.8
150953.0,3.5999999999999996
150954.0,1.8499999999999999
150955.0,0.45
150956.0,7.199999999999999
150957.0,3.5999999999999996
150958.0,2.2
150959.0,9.8
150960.0,2.0
150961.0,9.05
150962.0,20.2
150963.0,1.2
150964.0,1.2
150965.0,2.4
150966.0,3.5999999999999996
150967.0,1.2
150968.0,1.15
150969.0,8.0
150970.0,2.4
150971.0,0.9
150973.0,0.9
150975.0,4.699999999999999
150976.0,1.8
150977.0,6.5
150978.0,1.2
150980.0,4.0
150981.0,7.800000000000001
150982.0,1.4
150983.0,12.2
150984.0,23.9
150985.0,1.05
150986.0,1.25
150987.0,9.2
150988.0,1.2
150989.0,4.5
150990.0,1.7000000000000002
150991.0,3.0
150992.0,2.5
150993.0,6.5
150994.0,5.9
150995.0,5.6
150996.0,1.05
150997.0,2.4
150998.0,1.2
150999.0,2.4
151000.0,0.9
151001.0,1.2
151002.0,3.5
151003.0,3.5999999999999996
151004.0,5.5
151005.0,9.0
151006.0,2.5999999999999996
151007.0,2.4
151009.0,14.2
151010.0,6.0
151011.0,2.1
151012.0,1.2
151013.0,2.4
151014.0,5.9
151016.0,21.2
151017.0,3.1500000000000004
151019.0,17.4
151020.0,3.5999999999999996
151021.0,1.5
151022.0,1.2
151023.0,2.5
151024.0,1.2
151025.0,2.4
151026.0,0.9
151027.0,5.1
151028.0,1.1
151029.0,1.1
151030.0,6.5
151031.0,9.2
151032.0,1.05
151033.0,1.8
151034.0,1.2
151035.0,1.2
151036.0,1.5
151037.0,4.9
151038.0,4.8
151039.0,10.1
151041.0,2.8
151042.0,1.2
151043.0,14.1
151044.0,1.2
151045.0,9.6
151046.0,1.5
151047.0,7.45
151048.0,1.2
151049.0,1.2
151050.0,1.0
151051.0,1.05
151052.0,7.2
151053.0,2.1
151054.0,6.9
151055.0,2.65
151056.0,1.7999999999999998
151057.0,6.0
151058.0,2.4
151059.0,10.8
151060.0,1.2
151061.0,2.4
151062.0,2.4
151063.0,7.9
151064.0,3.5999999999999996
151065.0,1.0
151066.0,14.3
151067.0,1.2
151068.0,1.2
151069.0,1.2
151070.0,1.05
151071.0,2.4
151072.0,1.8
151073.0,2.4
151074.0,1.2
151075.0,1.2
151076.0,1.05
151077.0,1.05
151078.0,4.2
151079.0,2.4
151080.0,1.2
151081.0,1.8
151082.0,1.05
151083.0,0.6
151084.0,7.199999999999999
151085.0,1.8
151086.0,2.5
151087.0,12.0
151088.0,2.1
151089.0,1.2
151090.0,2.4
151091.0,13.899999999999999
151093.0,2.4
151094.0,0.9
151095.0,1.0
151096.0,0.9
151097.0,1.2
151098.0,1.2
151099.0,2.1
151100.0,1.2
151101.0,1.2
151102.0,7.5
151103.0,12.8
151104.0,4.8
151105.0,2.5
151106.0,2.5
151107.0,2.1500000000000004
151108.0,1.8
151109.0,3.0
151110.0,2.0
151111.0,4.9
151112.0,7.25
151113.0,1.8
151114.0,12.0
151115.0,3.7
151116.0,5.3999999999999995
151117.0,2.1
151118.0,2.4
151119.0,4.5
151120.0,8.0
151121.0,2.4
151122.0,5.15
151123.0,8.9
151124.0,1.2
151125.0,9.8
151126.0,1.2
151127.0,1.2
151128.0,1.2
151129.0,3.8
151130.0,1.5
151131.0,8.0
151132.0,9.2
